,gender,age,gross_income,segment,num_credit_cards,tiprel_1mes,ind_actividad_cliente,num_Products,num_loans,duration
0,M,21 years,$ 79070.91,Individuals,0,I,0,1,0,1035
1,M,23 years,$ 178270.68,College_Graduated,0,I,0,1,0,1097
2,M,24 years,$ 31243.56,College_Graduated,0,I,1,1,0,1866
3,M,24 years,$ 130740.54,College_Graduated,0,I,0,1,0,1440
4,M,31 years,$ 112975.17,Individuals,0,I,0,0,0,376
5,F,32 years,$ 37318.56,Individuals,0,A,1,4,0,699
6,F,43 years,$ 131281.5,Individuals,0,A,0,1,0,5022
7,M,48 years,$ 184641.6,Individuals,0,A,1,1,0,4066
8,F,36 years,$ 164347.86,VIP,0,A,1,1,0,1427
9,M,26 years,$ 27311.31,College_Graduated,0,I,1,1,0,1458
10,F,46 years,$ 256450.32,Individuals,0,I,0,0,0,6766
11,F,42 years,$ 133268.46,Individuals,0,A,1,2,0,6446
12,F,22 years,$ 42109.41,College_Graduated,0,I,0,1,0,1067
13,M,33 years,$ 77878.38,College_Graduated,0,A,1,1,0,766
14,M,40 years,$ 192617.13,Individuals,1,A,1,1,0,928
15,F,60 years,$ 369235.74,Individuals,0,A,1,7,0,6632
16,M,24 years,$ 62546.46,College_Graduated,0,I,0,1,0,1877
17,M,24 years,$ 78944.25,College_Graduated,0,I,0,1,0,1776
18,M,25 years,$ 89892.72,College_Graduated,0,I,0,0,0,1736
19,F,45 years,$ 56459.34,Individuals,0,I,0,0,0,3505
20,F,34 years,$ 115313.46,Individuals,0,I,0,0,0,1782
21,M,22 years,$ 45188.43,College_Graduated,0,I,0,1,0,695
22,F,30 years,$ 35098.71,College_Graduated,0,I,0,0,0,1509
23,M,48 years,$ 92778.09,Individuals,0,I,0,0,0,5413
24,F,54 years,$ 60695.7,Individuals,0,I,0,0,0,7513
25,F,20 years,$ 113536.14,College_Graduated,0,I,0,0,0,628
26,M,39 years,$ 107151.51,Individuals,0,A,1,1,0,4835
27,M,45 years,$ 52346.28,Individuals,0,I,0,0,0,790
28,M,43 years,$ 147215.34,VIP,0,A,1,4,0,5982
29,F,46 years,$ 62811.03,Individuals,0,I,0,0,0,6437
30,F,22 years,$ 54271.71,College_Graduated,0,I,0,1,0,1145
31,F,52 years,$ 84360.39,Individuals,0,A,1,1,0,542
32,F,25 years,$ 73119.45,College_Graduated,0,I,0,0,0,1773
33,M,22 years,$ 72386.91,College_Graduated,0,I,0,0,0,780
34,F,66 years,$ 83977.11,Individuals,0,I,0,2,0,3306
35,F,46 years,$ 52257.03,Individuals,0,A,1,3,0,4055
36,M,89 years,$ 170819.04,Individuals,0,A,1,5,0,7120
37,M,32 years,$ 152320.05,College_Graduated,0,I,0,1,0,1152
38,F,61 years,$ 104100.09,Individuals,0,A,1,3,0,2432
39,M,71 years,$ 150134.25,Individuals,1,A,1,5,0,4673
40,M,69 years,$ 185727.36,Individuals,0,I,0,1,0,3295
41,F,53 years,$ 1415413.26,Individuals,0,A,1,3,0,1497
42,M,45 years,$ 78611.4,Individuals,0,A,1,4,0,1507
43,M,18 years,$ 101848.77,Individuals,0,A,1,1,0,5263
44,M,22 years,$ 103770.0,College_Graduated,0,I,0,1,0,1054
45,F,44 years,$ 309681.66,Individuals,0,A,1,1,0,3222
46,M,21 years,$ 56065.77,College_Graduated,0,I,0,1,0,775
47,F,31 years,$ 119227.83,Individuals,0,I,0,0,0,706
48,M,43 years,$ 48012.78,Individuals,0,A,1,6,0,3679
49,F,25 years,$ 183739.26,College_Graduated,0,I,0,1,0,1413
50,M,53 years,$ 57920.94,Individuals,0,A,1,2,0,3768
51,M,70 years,$ 157762.02,Individuals,0,A,1,3,0,3981
52,M,72 years,$ 99327.33,Individuals,0,I,0,1,0,2951
53,F,23 years,$ 55547.28,College_Graduated,0,I,0,1,0,1516
54,F,27 years,$ 115431.57,College_Graduated,0,I,0,1,0,1060
55,M,43 years,$ 76793.76,Individuals,0,A,1,1,0,671
56,M,25 years,$ 114750.0,College_Graduated,0,I,0,1,0,1034
57,M,64 years,$ 100595.49,Individuals,0,A,1,2,0,5657
58,M,23 years,$ 85082.67,College_Graduated,0,I,0,1,0,1090
59,F,28 years,$ 139177.86,College_Graduated,0,I,0,1,0,1735
60,F,26 years,$ 155011.83,College_Graduated,0,I,0,1,0,1795
61,F,33 years,$ 158391.87,Individuals,0,I,0,0,0,4857
62,F,32 years,$ 90220.2,College_Graduated,0,I,0,1,0,382
63,F,73 years,$ 97062.48,Individuals,0,I,0,0,0,2804
64,F,31 years,$ 84075.96,College_Graduated,0,I,0,0,0,1441
65,F,23 years,$ 97053.51,College_Graduated,0,I,0,1,0,732
66,F,57 years,$ 135643.95,Individuals,0,A,1,4,0,5913
67,M,32 years,$ 33852.99,Individuals,0,A,1,4,0,858
68,F,52 years,$ 62049.45,Individuals,0,I,0,0,0,2204
69,F,38 years,$ 36230.58,Individuals,0,A,1,1,0,1293
70,M,45 years,$ 86566.26,Individuals,1,A,1,7,0,3904
71,F,48 years,$ 70337.04,Individuals,0,A,1,3,0,3573
72,M,57 years,$ 116764.62,Individuals,0,I,0,1,0,1818
73,M,27 years,$ 57411.54,College_Graduated,0,A,1,1,0,1153
74,M,22 years,$ 57707.49,College_Graduated,0,I,0,0,0,649
75,F,54 years,$ 193628.31,Individuals,0,A,1,1,0,4053
76,M,26 years,$ 823727.49,College_Graduated,0,I,0,1,0,1763
77,M,28 years,$ 115441.92,College_Graduated,0,I,0,1,0,1808
78,F,40 years,$ 178013.4,Individuals,0,I,0,2,0,4175
79,M,78 years,$ 69908.16,Individuals,0,I,0,0,0,4373
80,F,36 years,$ 102707.22,Individuals,0,I,0,0,0,3014
81,F,38 years,$ 292062.0,Individuals,0,A,1,7,1,6320
82,F,46 years,$ 76597.35,Individuals,0,A,1,2,0,3768
83,F,25 years,$ 422379.48,College_Graduated,0,I,0,1,0,1047
84,F,48 years,$ 42909.78,Individuals,0,A,1,2,0,5927
85,M,22 years,$ 139650.6,College_Graduated,0,A,1,1,0,1136
86,F,68 years,$ 96295.32,Individuals,0,I,0,0,0,740
87,F,56 years,$ 141568.71,Individuals,0,A,1,6,0,5858
88,F,52 years,$ 112208.07,Individuals,0,I,0,0,0,2286
89,F,27 years,$ 255427.68,Individuals,0,I,0,1,0,648
90,M,45 years,$ 125368.56,VIP,0,A,1,2,0,773
91,M,45 years,$ 186947.43,Individuals,0,A,1,1,0,6411
92,M,50 years,$ 218126.31,Individuals,0,A,1,2,0,2875
93,F,26 years,$ 208272.75,College_Graduated,0,I,0,1,0,1440
94,M,87 years,$ 301353.06,Individuals,0,I,0,1,0,5548
95,F,20 years,$ 48855.15,College_Graduated,0,I,0,1,0,390
96,F,51 years,$ 59718.06,Individuals,0,I,0,0,0,1060
97,F,84 years,$ 71984.22,Individuals,0,I,1,1,0,2874
98,F,67 years,$ 78162.39,Individuals,0,I,0,1,0,7127
99,M,46 years,$ 176318.28,Individuals,0,A,1,2,0,2594
100,F,37 years,$ 46550.34,VIP,1,A,1,9,0,3967
101,F,69 years,$ 167168.37,VIP,0,A,1,3,0,7464
102,F,45 years,$ 108044.58,Individuals,0,A,1,3,0,5454
103,F,35 years,$ 107002.59,Individuals,0,I,0,0,0,1707
104,M,34 years,$ 25328.19,Individuals,0,I,0,1,0,1763
105,F,44 years,$ 39956.13,Individuals,0,I,0,1,0,5207
106,F,44 years,$ 67662.39,Individuals,0,I,0,1,0,2796
107,F,57 years,$ 156504.09,Individuals,1,A,1,4,0,3552
108,M,63 years,$ 44216.31,Individuals,0,A,1,2,0,5550
109,M,24 years,$ 44447.31,College_Graduated,0,A,1,1,0,1874
110,M,44 years,$ 96823.53,Individuals,1,A,1,8,0,6415
111,M,47 years,$ 231878.52,Individuals,0,A,1,1,0,6009
112,F,51 years,$ 228607.11,Individuals,0,A,1,2,0,6571
113,F,63 years,$ 89809.32,VIP,0,A,1,3,0,5031
114,M,45 years,$ 74030.67,Individuals,0,I,0,0,0,2309
115,M,50 years,$ 138423.78,Individuals,0,I,0,0,0,3492
116,F,43 years,$ 165731.04,Individuals,0,A,0,3,0,5585
117,M,26 years,$ 156460.08,Individuals,0,A,1,3,0,2536
118,F,39 years,$ 98036.13,Individuals,0,I,0,1,0,3982
119,M,49 years,$ 314065.11,Individuals,0,I,1,2,0,6418
120,F,30 years,$ 141119.01,Individuals,0,I,0,0,0,1805
121,M,22 years,$ 38898.48,College_Graduated,0,I,0,1,0,1089
122,M,21 years,$ 183065.34,College_Graduated,0,I,0,1,0,705
123,M,43 years,$ 69705.24,Individuals,0,A,1,3,0,1388
124,M,29 years,$ 154203.54,College_Graduated,0,A,1,2,0,1572
125,M,48 years,$ 120512.49,Individuals,0,A,1,2,0,5013
126,M,58 years,$ 353091.0,Individuals,0,I,0,1,0,7618
127,F,43 years,$ 165714.12,Individuals,0,A,1,2,0,5311
128,F,24 years,$ 74892.96,College_Graduated,0,I,0,1,0,1859
129,M,24 years,$ 138941.19,College_Graduated,0,I,0,0,0,1056
130,F,24 years,$ 106928.73,College_Graduated,0,I,0,1,0,702
131,F,22 years,$ 34535.1,College_Graduated,0,I,0,1,0,984
132,M,35 years,$ 68158.77,Individuals,0,I,0,1,0,1837
133,F,21 years,$ 73584.75,College_Graduated,0,I,0,1,0,1059
134,F,54 years,$ 373965.51,Individuals,0,A,1,2,0,6695
135,F,57 years,$ 122968.32,Individuals,1,A,1,2,0,4087
136,M,20 years,$ 144433.83,College_Graduated,0,A,1,1,0,415
137,F,42 years,$ 80554.38,Individuals,1,A,1,6,0,3828
138,M,24 years,$ 53407.38,College_Graduated,0,I,0,1,0,1873
139,M,48 years,$ 128821.86,Individuals,0,A,0,2,0,4996
140,F,74 years,$ 113712.18,Individuals,0,A,0,1,0,7256
141,M,50 years,$ 203989.44,Individuals,0,I,0,1,0,5806
142,F,61 years,$ 698086.14,Individuals,0,I,0,1,0,3133
143,M,22 years,$ 182576.58,Individuals,0,A,1,3,0,426
144,F,29 years,$ 94271.52,College_Graduated,0,I,0,1,0,1048
145,M,49 years,$ 30458.07,VIP,1,A,1,4,0,2368
146,F,49 years,$ 179617.8,Individuals,0,A,1,1,0,6036
147,F,37 years,$ 80757.75,Individuals,0,I,0,0,0,1329
148,F,54 years,$ 146655.93,Individuals,0,I,0,1,0,3986
149,M,28 years,$ 57281.46,College_Graduated,0,A,1,2,0,1847
150,M,22 years,$ 62402.07,College_Graduated,0,I,0,1,0,1349
151,M,49 years,$ 112718.25,Individuals,0,A,1,1,0,7152
152,M,42 years,$ 134737.53,Individuals,1,A,1,5,0,1444
153,M,85 years,$ 129322.68,Individuals,0,I,0,1,0,3979
154,F,45 years,$ 147517.08,Individuals,0,I,0,1,0,788
155,F,54 years,$ 191088.24,Individuals,0,A,1,2,0,3033
156,F,86 years,$ 235310.52,Individuals,0,I,0,0,0,2305
157,M,51 years,$ 73008.39,VIP,0,A,1,5,0,5426
158,M,26 years,$ 93297.81,College_Graduated,0,I,0,1,0,1500
159,F,47 years,$ 200931.36,Individuals,0,I,0,2,0,2860
160,F,42 years,$ 664041.21,Individuals,0,A,1,6,0,4269
161,F,58 years,$ 130933.62,Individuals,0,A,1,1,0,825
162,M,42 years,$ 117857.28,Individuals,0,A,1,3,0,5679
163,M,22 years,$ 55555.44,College_Graduated,0,I,0,0,0,1144
164,M,88 years,$ 400137.12,Individuals,0,I,0,0,0,4498
165,M,25 years,$ 50303.79,College_Graduated,0,I,1,1,0,1133
166,F,60 years,$ 445352.7,Individuals,0,I,0,2,0,5295
167,M,22 years,$ 56113.5,College_Graduated,0,I,0,1,0,1150
168,F,46 years,$ 50926.26,Individuals,0,A,1,4,0,779
169,F,29 years,$ 64870.56,Individuals,0,I,0,0,0,944
170,M,26 years,$ 160880.4,College_Graduated,0,A,1,2,0,2271
171,M,23 years,$ 33191.22,College_Graduated,0,A,1,1,0,1509
172,M,44 years,$ 137912.7,VIP,0,A,1,7,0,5542
173,F,48 years,$ 109373.88,Individuals,1,A,1,5,0,7104
174,F,62 years,$ 125565.0,Individuals,0,A,1,1,0,4714
175,F,44 years,$ 61048.11,Individuals,0,I,0,2,0,5315
176,F,51 years,$ 73330.77,Individuals,0,A,1,3,0,2825
177,F,20 years,$ 82140.21,College_Graduated,0,A,1,1,0,409
178,M,40 years,$ 38155.11,Individuals,0,I,0,1,0,1798
179,M,24 years,$ 76849.23,College_Graduated,0,I,0,1,0,1823
180,F,42 years,$ 137842.35,Individuals,0,I,0,0,0,3985
181,F,23 years,$ 253936.77,College_Graduated,0,I,0,1,0,1431
182,F,25 years,$ 54442.47,College_Graduated,0,I,0,1,0,1397
183,F,45 years,$ 71289.63,Individuals,1,A,1,5,0,5219
184,F,49 years,$ 44718.24,Individuals,0,I,0,0,0,4884
185,M,20 years,$ 70946.94,College_Graduated,0,I,0,1,0,430
186,F,69 years,$ 192463.8,Individuals,0,A,1,1,0,4266
187,F,46 years,$ 184480.08,Individuals,0,A,1,4,0,2110
188,F,44 years,$ 93029.19,Individuals,0,A,1,2,0,391
189,M,25 years,$ 97460.82,College_Graduated,0,I,0,1,0,1152
190,M,36 years,$ 105471.48,Individuals,1,A,1,4,0,4518
191,F,49 years,$ 92210.46,Individuals,1,A,1,7,1,4002
192,M,46 years,$ 113586.36,Individuals,0,A,1,1,0,761
193,F,69 years,$ 146211.93,Individuals,1,A,1,5,0,6904
194,M,23 years,$ 131311.71,College_Graduated,0,I,0,0,0,1433
195,M,40 years,$ 139426.5,Individuals,0,I,0,0,0,5163
196,F,39 years,$ 96281.55,Individuals,0,A,1,1,0,2851
197,F,49 years,$ 250010.85,Individuals,0,I,0,1,0,3771
198,F,49 years,$ 147978.39,Individuals,0,A,1,1,0,3731
199,M,26 years,$ 72384.84,College_Graduated,0,I,0,1,0,1823
200,F,62 years,$ 105515.49,Individuals,1,A,1,3,0,2348
201,F,27 years,$ 51814.38,College_Graduated,0,I,0,1,0,1385
202,F,45 years,$ 240073.38,VIP,0,A,1,2,0,772
203,M,43 years,$ 123334.77,Individuals,0,I,0,1,0,3533
204,F,44 years,$ 40582.8,Individuals,0,I,1,1,0,485
205,F,83 years,$ 111085.29,Individuals,0,I,0,1,0,6754
206,F,43 years,$ 77829.54,Individuals,0,A,1,1,0,5445
207,F,49 years,$ 120508.65,Individuals,1,A,1,6,0,5571
208,F,22 years,$ 37256.91,College_Graduated,0,I,0,0,0,1087
209,M,25 years,$ 207957.33,College_Graduated,0,I,0,0,0,684
210,M,43 years,$ 144078.18,Individuals,0,A,1,2,0,4125
211,M,25 years,$ 102026.04,College_Graduated,0,I,0,1,0,1801
212,M,22 years,$ 65483.76,College_Graduated,0,I,1,1,0,1131
213,M,27 years,$ 103297.14,VIP,0,A,1,2,0,411
214,M,48 years,$ 157911.09,VIP,1,A,1,9,0,3996
215,M,24 years,$ 60736.17,College_Graduated,0,A,1,2,0,810
216,F,26 years,$ 64892.97,College_Graduated,0,I,0,1,0,1452
217,F,49 years,$ 84669.84,Individuals,0,I,0,1,0,6558
218,F,46 years,$ 152899.47,Individuals,0,A,1,3,0,2996
219,F,22 years,$ 48536.13,College_Graduated,0,A,1,2,0,1144
220,M,25 years,$ 87870.99,College_Graduated,0,I,0,1,0,1824
221,M,20 years,$ 234987.93,College_Graduated,0,I,0,0,0,390
222,M,59 years,$ 174303.36,VIP,0,A,1,4,0,5281
223,F,70 years,$ 43426.92,Individuals,0,I,0,0,0,1049
224,M,20 years,$ 45058.05,College_Graduated,0,I,1,1,0,423
225,F,25 years,$ 75670.68,College_Graduated,0,I,1,1,0,1815
226,M,37 years,$ 115818.48,Individuals,0,A,1,7,0,2376
227,F,27 years,$ 166495.44,College_Graduated,0,I,0,1,0,1062
228,M,22 years,$ 108185.85,College_Graduated,0,I,1,1,0,1144
229,M,23 years,$ 50840.07,College_Graduated,0,I,0,1,0,1658
230,M,48 years,$ 141291.42,Individuals,0,I,0,1,0,5378
231,M,54 years,$ 163060.68,Individuals,0,I,1,2,0,1924
232,M,42 years,$ 22323.84,Individuals,0,A,1,1,0,5646
233,M,42 years,$ 58241.04,Individuals,0,A,1,3,0,1892
234,M,35 years,$ 36275.55,Individuals,0,I,0,0,0,585
235,M,73 years,$ 103741.14,Individuals,0,I,0,0,0,6688
236,F,28 years,$ 37261.2,College_Graduated,0,I,0,1,0,1797
237,M,55 years,$ 106864.05,Individuals,0,I,0,0,0,4412
238,M,27 years,$ 70029.18,College_Graduated,0,I,0,1,0,710
239,F,53 years,$ 82310.19,Individuals,0,I,0,1,0,7054
240,F,45 years,$ 181860.33,Individuals,0,I,0,0,0,5074
241,F,22 years,$ 21056.1,College_Graduated,0,I,0,1,0,1075
242,F,43 years,$ 104024.91,Individuals,1,A,1,9,1,4993
243,M,61 years,$ 173130.45,Individuals,0,I,1,1,0,1867
244,F,45 years,$ 146459.1,Individuals,0,I,0,0,0,3738
245,F,67 years,$ 165483.27,Individuals,0,A,1,1,0,853
246,F,51 years,$ 174332.16,Individuals,1,A,1,7,0,6722
247,M,31 years,$ 880562.85,College_Graduated,0,I,0,1,0,1438
248,M,20 years,$ 103878.57,College_Graduated,0,A,1,1,0,716
249,M,39 years,$ 32648.28,Individuals,0,A,1,1,0,601
250,M,22 years,$ 153984.45,College_Graduated,0,I,0,1,0,1054
251,F,47 years,$ 88928.94,Individuals,0,I,0,0,0,5578
252,M,24 years,$ 52516.98,College_Graduated,0,I,0,1,0,1514
253,F,21 years,$ 143897.85,Individuals,0,I,0,2,0,3283
254,M,27 years,$ 211203.99,College_Graduated,0,I,0,1,0,1419
255,F,71 years,$ 87277.8,VIP,0,A,1,2,0,2929
256,M,42 years,$ 51224.58,Individuals,0,I,0,1,0,5319
257,F,27 years,$ 63663.6,Individuals,0,I,0,1,0,695
258,M,47 years,$ 183221.97,Individuals,0,A,1,2,0,5473
259,F,27 years,$ 44550.48,College_Graduated,0,I,1,1,0,685
260,M,69 years,$ 90588.63,Individuals,0,I,1,2,0,4286
261,F,56 years,$ 181108.44,Individuals,0,A,1,1,0,5022
262,M,42 years,$ 96967.65,Individuals,0,A,1,2,0,1084
263,F,75 years,$ 71771.25,Individuals,0,A,1,2,0,755
264,M,56 years,$ 865275.51,Individuals,0,I,0,1,0,2900
265,M,43 years,$ 55313.31,Individuals,0,I,0,0,0,768
266,F,54 years,$ 166534.17,Individuals,0,I,0,0,0,5347
267,M,22 years,$ 50108.88,College_Graduated,0,I,0,1,0,1132
268,M,32 years,$ 30707.22,College_Graduated,0,A,1,2,0,984
269,M,55 years,$ 170100.0,Individuals,0,A,1,1,0,1200
270,F,74 years,$ 125991.39,VIP,0,A,1,4,0,5988
271,F,83 years,$ 54606.03,VIP,0,A,1,5,0,4582
272,M,54 years,$ 90930.9,Individuals,1,A,1,7,0,2985
